outcome,categorical,numeric
0,3,41
0,1,41
0,3,44
0,3,
0,,40
0,1,42
0,3,46
0,,40
0,3,33
0,3,46
0,3,40
0,2,38
0,3,44
0,,37
0,3,40
0,1,39
0,1,43
0,3,38
0,2,
0,3,39
0,1,42
0,3,45
0,3,40
0,3,40
0,2,43
0,2,49
1,1,44
1,1,46
0,2,46
1,2,41
0,1,42
0,3,47
1,2,43
0,2,49
1,3,40
1,3,39
0,3,49
0,2,42
0,1,43
0,2,41
0,1,57
0,2,50
0,2,44
0,3,39
0,2,52
1,3,41
0,3,39
0,1,39
0,3,52
1,2,48
0,2,45
0,3,40
0,1,46
3,2,50
0,2,43
0,1,43
1,2,54
1,1,42
0,3,45
0,1,54
0,3,47
1,2,45
0,2,43
1,3,40
0,3,52
1,3,52
0,1,45
0,2,49
1,2,53
0,1,54
2,2,50
0,2,48
0,2,51
0,1,41
1,,51
0,1,46
0,3,55
0,1,46
0,1,61
0,2,45
0,3,54
0,2,54
1,2,51
0,1,49
0,3,56
0,2,53
1,1,49
0,1,57
0,1,42
0,3,46
0,3,45
0,1,55
0,3,47
0,2,50
0,3,41
0,1,52
1,2,57
0,3,53
1,3,51
0,1,57
0,2,51
0,3,40
0,3,50
0,3,57
0,1,35
0,2,49
0,1,50
1,1,55
0,2,48
0,2,52
1,2,53
1,2,59
2,2,66
0,2,57
1,2,54
0,3,57
1,2,54
0,2,54
0,2,54
2,2,
1,3,51
3,2,58
1,2,60
0,2,51
0,2,63
1,2,50
1,2,53
0,2,53
0,2,55
1,2,56
0,2,49
1,2,61
0,1,49
0,2,57
0,2,66
0,1,56
3,2,60
1,2,57
0,2,59
0,2,58
0,2,57
3,,64
0,1,60
0,1,54
1,2,61
1,1,58
0,1,56
0,1,60
0,2,55
3,2,57
0,2,62
0,2,56
0,2,51
2,3,56
0,1,61
1,2,63
5,2,61
0,2,67
0,2,48
1,2,61
0,1,57
0,1,48
2,2,65
4,2,62
1,2,61
0,3,53
1,1,58
1,2,64
3,2,65
1,1,56
1,1,63
3,2,57
2,2,72
0,3,66
0,2,62
1,2,58
1,2,63
3,2,64
2,2,72
0,2,64
6,2,69
4,2,70
1,2,66
0,1,58
2,2,62
2,2,67
1,2,64
2,2,63
1,2,68
1,2,75
0,2,69
1,2,
2,2,71
5,2,71
1,2,60
