Date,Users,Pageviews
20190101,36,221
20190102,98,521
20190103,82,467
20190104,88,572
20190105,49,411
20190106,51,391
20190107,126,818
20190108,108,584
20190109,116,800
20190110,116,782
20190111,102,584
20190112,64,532
20190113,52,397
20190114,134,995
20190115,91,622
20190116,71,561
20190117,114,905
20190118,68,474
20190119,45,318
20190120,35,199
20190121,52,240
20190122,104,672
20190123,109,716
20190124,113,771
20190125,117,636
20190126,62,361
20190127,69,315
20190128,106,650
20190129,147,867
20190130,157,951
20190131,92,529
